2025-04-04 15:58:56 [main] INFO  testCases.TC1_AccountRegistrationtest - launching chrome browser
2025-04-04 15:58:59 [main] INFO  testCases.TC1_AccountRegistrationtest - *****************STARTING TC01************************
2025-04-04 15:59:01 [main] INFO  testCases.TC1_AccountRegistrationtest - Clicked on My account link
2025-04-04 15:59:01 [main] INFO  testCases.TC1_AccountRegistrationtest - Providing customer details
2025-04-04 15:59:05 [main] INFO  testCases.TC1_AccountRegistrationtest - validating message
2025-04-04 15:59:05 [main] INFO  testCases.TC1_AccountRegistrationtest - *****************************TC01 is PASSED******************************
2025-04-04 15:59:05 [main] INFO  testCases.TC1_AccountRegistrationtest - *****************************TC01 Finished******************************
2025-04-04 15:59:06 [main] INFO  testCases.TC2_Lohgintest - launching chrome browser
2025-04-04 15:59:08 [main] INFO  testCases.TC2_Lohgintest - *******************TC02 STARTED*********************
2025-04-04 15:59:09 [main] INFO  testCases.TC2_Lohgintest - Clicked on My Account
2025-04-04 15:59:10 [main] INFO  testCases.TC2_Lohgintest - Clicked on Login
2025-04-04 15:59:10 [main] INFO  testCases.TC2_Lohgintest - entered username
2025-04-04 15:59:10 [main] INFO  testCases.TC2_Lohgintest - entered password
2025-04-04 15:59:11 [main] INFO  testCases.TC2_Lohgintest - Clicked on Login
2025-04-04 15:59:11 [main] INFO  testCases.TC2_Lohgintest - required page exists
2025-04-04 15:59:11 [main] INFO  testCases.TC2_Lohgintest - *******************TC02 PASSED*********************
2025-04-04 15:59:11 [main] INFO  testCases.TC2_Lohgintest - *******************TC02 FINISHED*********************
