2025-04-04 13:49:11 [main] INFO  testCases.TC1_AccountRegistrationtest - launching chrome browser
2025-04-04 13:49:13 [main] INFO  testCases.TC1_AccountRegistrationtest - *****************STARTING TC01************************
2025-04-04 13:49:13 [main] INFO  testCases.TC1_AccountRegistrationtest - Clicked on My account link
2025-04-04 13:49:13 [main] INFO  testCases.TC1_AccountRegistrationtest - Providing customer details
2025-04-04 13:49:15 [main] INFO  testCases.TC1_AccountRegistrationtest - validating message
2025-04-04 13:49:15 [main] INFO  testCases.TC1_AccountRegistrationtest - *****************************TC01 is PASSED******************************
2025-04-04 13:49:15 [main] INFO  testCases.TC1_AccountRegistrationtest - *****************************TC01 Finished******************************
2025-04-04 13:49:18 [main] INFO  testCases.TC1_AccountRegistrationtest - launching edge browser
2025-04-04 13:49:19 [main] INFO  testCases.TC1_AccountRegistrationtest - *****************STARTING TC01************************
2025-04-04 13:49:20 [main] INFO  testCases.TC1_AccountRegistrationtest - Clicked on My account link
2025-04-04 13:49:20 [main] INFO  testCases.TC1_AccountRegistrationtest - Providing customer details
2025-04-04 13:49:21 [main] INFO  testCases.TC1_AccountRegistrationtest - validating message
2025-04-04 13:49:21 [main] INFO  testCases.TC1_AccountRegistrationtest - *****************************TC01 is PASSED******************************
2025-04-04 13:49:21 [main] INFO  testCases.TC1_AccountRegistrationtest - *****************************TC01 Finished******************************
2025-04-04 13:49:23 [main] INFO  testCases.TC1_AccountRegistrationtest - *****************STARTING TC01************************
2025-04-04 13:49:23 [main] ERROR testCases.TC1_AccountRegistrationtest - Test failed
2025-04-04 13:49:23 [main] INFO  testCases.TC1_AccountRegistrationtest - *****************************TC01 is FAILED******************************
